url,sku_id,价格,品牌,商品名,厂家,通用名,规格,批准文号,剂型
https://item.jd.com/3597603.html,3597603,245,爱乐维（Menevit）,爱乐维100片,Bayer S.A./分包装 拜耳医药保健有限公司启东分公司,复合维生素片,100片,国药准字J20140155 （H20140354）,片剂
https://item.jd.com/2930900.html,2930900,99,爱乐维（Menevit）,爱乐维30片,Bayer S.A./分包装 拜耳医药保健有限公司启东分公司,复合维生素片,30片,国药准字J20140155 （H20140354）,片剂
https://item.jd.com/100007304677.html,1.00007E+11,244,爱乐维（Menevit）,爱乐维复合维生素片,Bayer S.A./分包装 拜耳医药保健有限公司启东分公司,复合维生素片,30片*2盒,国药准字J20140155 （H20140354）,片剂
https://item.jd.com/100009739913.html,1.0001E+11,689,爱乐维（Menevit）,爱乐维复合维生素片,Bayer S.A./分包装 拜耳医药保健有限公司启东分公司,复合维生素片,100片/盒*2,国药准字J20140155 （H20140354）,片剂
https://item.jd.com/100018478182.html,1.00018E+11,78.8,海露,海露玻璃酸钠滴眼液,URSAPHARM Arzneimittel GmbH,玻璃酸钠滴眼液,0.1%*10ml,H20150150,其他
https://item.jd.com/100014587637.html,1.00015E+11,157.6,海露,海露玻璃酸钠滴眼液,URSAPHARM Arzneimittel GmbH,玻璃酸钠滴眼液,0.1％ 10ml*2盒,H20150150,其他
https://item.jd.com/100027021126.html,1.00027E+11,394,海露,海露玻璃酸钠滴眼液,URSAPHARM Arzneimittel GmbH,玻璃酸钠滴眼液,0.1%*10ml*5盒,H20150150,其他
https://item.jd.com/100034426814.html,1.00034E+11,236.4,海露,海露玻璃酸钠滴眼液,URSAPHARM Arzneimittel GmbH,玻璃酸钠滴眼液,0.1%*10ml*3盒,H20150150,其他
https://item.jd.com/2931112.html,2931112,89,辅舒良,辅舒良50μg*120喷(0.05%),"Glaxo Wellcome,S.A.",丙酸氟替卡松鼻喷雾剂,50μg*120喷,国药准字HJ20140117,喷雾剂
https://item.jd.com/100022161428.html,1.00022E+11,69,辅舒良,辅舒良丙酸氟替卡松鼻喷雾剂,"Glaxo Wellcome,S.A.",丙酸氟替卡松鼻喷雾剂,50μg*60喷*0.05%,国药准字HJ20140117,喷雾剂
https://item.jd.com/3083217.html,3083217,65,安素,安素安素 肠内营养粉剂 香草口味 400g,ABBOTT LABORATORIES B.V.,肠内营养粉剂(TP),400g,H20181147,粉剂
https://item.jd.com/100009773041.html,1.0001E+11,346,蔓迪,蔓迪米诺地尔酊,浙江万晟药业有限公司,米诺地尔酊,5%（90ml：4.5g）*2瓶,国药准字H20010714,酊剂
https://item.jd.com/3157527.html,3157527,148,蔓迪,蔓迪60ML,浙江万晟药业有限公司,米诺地尔酊,5%（60ml*3.0g） 60毫升/瓶,国药准字H20010714,酊剂
https://item.jd.com/4306798.html,4306798,188,蔓迪,蔓迪米诺地尔酊,浙江万晟药业有限公司,米诺地尔酊,5%（90ml：4.5g） 90ml/瓶,国药准字H20010714,酊剂
https://item.jd.com/100017870069.html,1.00018E+11,692,蔓迪,蔓迪米诺地尔酊,浙江万晟药业有限公司,米诺地尔酊,5%(90ml：4.5g)90毫升*4瓶,国药准字H20010714,酊剂
